[2025-01-23 21:17:27,609][INFO] 开始休眠 1800 s
[2025-01-24 05:14:19,347][INFO] 开始休眠 1800 s
[2025-01-24 05:38:16,302][INFO] 开始休眠 1800 s
[2025-01-24 05:44:19,466][INFO] 开始休眠 1800 s
[2025-01-24 06:08:16,420][INFO] 开始休眠 1800 s
[2025-01-24 06:14:19,589][INFO] 开始休眠 1800 s
[2025-01-24 06:38:16,540][INFO] 开始休眠 1800 s
[2025-01-24 06:44:19,709][INFO] 开始休眠 1800 s
[2025-01-24 07:08:16,655][INFO] 开始休眠 1800 s
[2025-01-24 07:14:19,827][INFO] 开始休眠 1800 s
[2025-01-24 07:38:16,773][INFO] 开始休眠 1800 s
[2025-01-24 07:44:19,945][INFO] 开始休眠 1800 s
[2025-01-24 08:08:16,891][INFO] 开始休眠 1800 s
[2025-01-24 08:14:20,067][INFO] 开始休眠 1800 s
[2025-01-24 08:38:17,006][INFO] 开始休眠 1800 s
[2025-01-24 08:44:20,186][INFO] 开始休眠 1800 s
[2025-01-24 09:08:17,122][INFO] 开始休眠 1800 s
[2025-01-24 09:14:20,300][INFO] 开始休眠 1800 s
[2025-01-24 09:38:17,238][INFO] 开始休眠 1800 s
[2025-01-24 09:44:20,421][INFO] 开始休眠 1800 s
[2025-01-24 10:08:17,363][INFO] 开始休眠 1800 s
[2025-01-24 10:14:20,538][INFO] 开始休眠 1800 s
[2025-01-24 10:38:17,483][INFO] 开始休眠 1800 s
[2025-01-24 10:44:20,658][INFO] 开始休眠 1800 s
[2025-01-24 11:08:17,602][INFO] 开始休眠 1800 s
[2025-01-24 11:14:20,772][INFO] 开始休眠 1800 s
[2025-01-24 11:38:17,715][INFO] 开始休眠 1800 s
[2025-01-24 11:44:20,890][INFO] 开始休眠 1800 s
[2025-01-24 12:08:17,835][INFO] 开始休眠 1800 s
[2025-01-24 12:14:21,006][INFO] 开始休眠 1800 s
[2025-01-24 12:38:17,953][INFO] 开始休眠 1800 s
[2025-01-24 12:44:21,124][INFO] 开始休眠 1800 s
[2025-01-24 13:08:18,074][INFO] 开始休眠 1800 s
[2025-01-24 13:14:21,245][INFO] 开始休眠 1800 s
[2025-01-24 13:38:18,195][INFO] 开始休眠 1800 s
[2025-01-24 13:44:21,361][INFO] 开始休眠 1800 s
[2025-01-24 14:08:18,311][INFO] 开始休眠 1800 s
[2025-01-24 14:14:21,479][INFO] 开始休眠 1800 s
[2025-01-24 14:38:18,430][INFO] 开始休眠 1800 s
[2025-01-24 14:44:21,599][INFO] 开始休眠 1800 s
[2025-01-24 15:08:18,546][INFO] 开始休眠 1800 s
[2025-01-24 15:14:21,716][INFO] 开始休眠 1800 s
[2025-01-24 15:38:18,663][INFO] 开始休眠 1800 s
[2025-01-24 15:44:21,835][INFO] 开始休眠 1800 s
[2025-01-24 16:08:18,781][INFO] 开始休眠 1800 s
[2025-01-24 16:14:21,955][INFO] 开始休眠 1800 s
[2025-01-24 16:38:18,896][INFO] 开始休眠 1800 s
[2025-01-24 16:44:22,074][INFO] 开始休眠 1800 s
[2025-01-24 17:08:19,013][INFO] 开始休眠 1800 s
[2025-01-24 17:14:22,190][INFO] 开始休眠 1800 s
[2025-01-24 17:38:19,132][INFO] 开始休眠 1800 s
[2025-01-24 17:44:22,307][INFO] 开始休眠 1800 s
[2025-01-24 18:08:19,252][INFO] 开始休眠 1800 s
[2025-01-24 18:14:22,425][INFO] 开始休眠 1800 s
[2025-01-24 18:38:19,373][INFO] 开始休眠 1800 s
[2025-01-24 18:44:22,542][INFO] 开始休眠 1800 s
[2025-01-24 19:08:19,491][INFO] 开始休眠 1800 s
[2025-01-24 19:14:22,665][INFO] 开始休眠 1800 s
[2025-01-24 19:38:19,612][INFO] 开始休眠 1800 s
[2025-01-24 19:44:22,782][INFO] 开始休眠 1800 s
[2025-01-24 20:08:19,734][INFO] 开始休眠 1800 s
[2025-01-24 20:14:22,902][INFO] 开始休眠 1800 s
[2025-01-24 20:38:19,853][INFO] 开始休眠 1800 s
[2025-01-24 20:44:23,024][INFO] 开始休眠 1800 s
[2025-01-24 21:08:19,971][INFO] 开始休眠 1800 s
[2025-01-24 21:14:23,143][INFO] 开始休眠 1800 s
[2025-01-24 21:38:20,082][INFO] [rank:0] 任务执行完成，开始停止容器
[2025-01-24 21:38:30,366][INFO] [rank:0] 容器[20250122_seq2seq_eval_00]停止成功
[2025-01-24 21:38:30,378][INFO] 开始休眠 1800 s
[2025-01-24 21:44:23,256][INFO] 未找到任何 container ,健康检查结束
VLN_ROOT_DIR:/ssd/wangliuyi/code/w61_grutopia/vln
PROJECT_ROOT_PATH:/ssd/wangliuyi/code/w61_grutopia
cfg_file:vln/configs/v2/eval.json
config:{'name': '20250122_seq2seq_eval', 'task_type': 'eval', 'ckpt_to_load': 'data/checkpoints/Seq2Seq_habitat_sota/Seq2Seq_DA_converted.pth', 'eval_cfg_file': 'vln/configs/train/seq2seq_eval.yaml', 'image': 'w61_grutopia:v0.4', 'total_rank': 8, 'retry_list': [], 'flash': False, 'device_map': {'0': ['0'], '1': ['1'], '2': ['2'], '3': ['3'], '4': ['4'], '5': ['5'], '6': ['6'], '7': ['7']}, 'merge_config': {'data_0508': [8, 9, 10, 11, 12, 13, 14, 15]}}
name:20250122_seq2seq_eval
device_map:{'0': ['0'], '1': ['1'], '2': ['2'], '3': ['3'], '4': ['4'], '5': ['5'], '6': ['6'], '7': ['7']}
[2025-01-24 22:08:30,490][INFO] 未找到任何 container ,健康检查结束
VLN_ROOT_DIR:/ssd/wangliuyi/code/w61_grutopia/vln
PROJECT_ROOT_PATH:/ssd/wangliuyi/code/w61_grutopia
cfg_file:vln/configs/v2/eval.json
config:{'name': '20250122_seq2seq_eval', 'task_type': 'eval', 'ckpt_to_load': 'data/checkpoints/Seq2Seq_habitat_sota/Seq2Seq_DA_converted.pth', 'eval_cfg_file': 'vln/configs/train/seq2seq_eval.yaml', 'image': 'w61_grutopia:v0.4', 'total_rank': 8, 'retry_list': [], 'flash': False, 'device_map': {'0': ['0'], '1': ['1'], '2': ['2'], '3': ['3'], '4': ['4'], '5': ['5'], '6': ['6'], '7': ['7']}, 'merge_config': {'data_0508': [8, 9, 10, 11, 12, 13, 14, 15]}}
name:20250122_seq2seq_eval
device_map:{'0': ['0'], '1': ['1'], '2': ['2'], '3': ['3'], '4': ['4'], '5': ['5'], '6': ['6'], '7': ['7']}
[2025-01-25 22:33:33,165][INFO] 开始休眠 1800 s
[2025-01-25 23:03:33,279][INFO] 开始休眠 1800 s
[2025-01-25 23:33:33,398][INFO] 开始休眠 1800 s
[2025-01-26 00:03:33,519][INFO] 开始休眠 1800 s
[2025-01-26 00:33:33,636][INFO] 开始休眠 1800 s
[2025-01-26 01:03:33,752][INFO] 开始休眠 1800 s
[2025-01-26 01:33:33,871][INFO] 开始休眠 1800 s
[2025-01-26 02:03:33,991][INFO] 开始休眠 1800 s
[2025-01-26 02:33:34,109][INFO] 开始休眠 1800 s
[2025-01-26 03:03:34,224][INFO] 开始休眠 1800 s
[2025-01-26 03:33:34,341][INFO] 开始休眠 1800 s
[2025-01-26 04:03:34,457][INFO] 开始休眠 1800 s
[2025-01-26 04:33:34,574][INFO] 开始休眠 1800 s
[2025-01-26 05:03:34,688][INFO] 开始休眠 1800 s
[2025-01-26 05:33:34,805][INFO] 开始休眠 1800 s
[2025-01-26 06:03:34,922][INFO] 开始休眠 1800 s
[2025-01-26 06:33:35,039][INFO] 开始休眠 1800 s
[2025-01-26 07:03:35,156][INFO] 开始休眠 1800 s
[2025-01-26 07:33:35,271][INFO] 开始休眠 1800 s
[2025-01-26 08:03:35,390][INFO] 开始休眠 1800 s
[2025-01-26 08:33:35,508][INFO] 开始休眠 1800 s
[2025-01-26 09:03:35,629][INFO] 开始休眠 1800 s
[2025-01-26 09:33:35,746][INFO] 开始休眠 1800 s
[2025-01-26 10:03:35,868][INFO] 开始休眠 1800 s
[2025-01-26 10:33:35,988][INFO] 开始休眠 1800 s
[2025-01-26 11:03:36,106][INFO] 开始休眠 1800 s
[2025-01-26 11:33:36,225][INFO] 开始休眠 1800 s
[2025-01-26 12:03:36,342][INFO] 开始休眠 1800 s
[2025-01-26 12:33:36,458][INFO] 开始休眠 1800 s
[2025-01-26 13:03:36,575][INFO] 开始休眠 1800 s
[2025-01-26 13:33:36,693][INFO] 开始休眠 1800 s
[2025-01-26 14:03:36,817][INFO] 开始休眠 1800 s
[2025-01-26 14:33:36,934][INFO] 开始休眠 1800 s
[2025-01-26 15:03:37,051][INFO] 开始休眠 1800 s
[2025-01-26 15:33:37,165][INFO] 开始休眠 1800 s
[2025-01-26 16:03:37,280][INFO] 开始休眠 1800 s
[2025-01-26 16:33:37,399][INFO] 开始休眠 1800 s
[2025-01-26 17:03:37,517][INFO] 开始休眠 1800 s
[2025-01-26 17:33:37,637][INFO] 开始休眠 1800 s
[2025-01-26 18:03:37,752][INFO] 开始休眠 1800 s
[2025-01-26 18:33:37,873][INFO] 开始休眠 1800 s
[2025-01-26 19:03:37,991][INFO] 开始休眠 1800 s
[2025-01-26 19:33:38,116][INFO] 开始休眠 1800 s
[2025-01-26 20:03:38,232][INFO] 开始休眠 1800 s
[2025-01-26 20:33:38,349][INFO] 开始休眠 1800 s
[2025-01-26 21:03:38,466][INFO] 开始休眠 1800 s
[2025-01-26 21:33:38,582][INFO] 开始休眠 1800 s
[2025-01-26 22:03:38,696][INFO] 开始休眠 1800 s
[2025-01-26 22:33:38,817][INFO] 开始休眠 1800 s
[2025-01-26 23:03:38,933][INFO] 开始休眠 1800 s
[2025-01-26 23:33:39,052][INFO] 开始休眠 1800 s
[2025-01-27 00:03:39,170][INFO] 开始休眠 1800 s
[2025-01-27 00:33:39,295][INFO] 开始休眠 1800 s
[2025-01-27 01:03:39,415][INFO] 开始休眠 1800 s
[2025-01-27 01:33:39,532][INFO] 开始休眠 1800 s
[2025-01-27 02:03:39,649][INFO] 开始休眠 1800 s
[2025-01-27 02:33:39,767][INFO] 开始休眠 1800 s
[2025-01-27 03:03:39,885][INFO] 开始休眠 1800 s
[2025-01-27 03:33:40,002][INFO] 开始休眠 1800 s
[2025-01-27 04:03:40,126][INFO] 开始休眠 1800 s
[2025-01-27 04:33:40,242][INFO] 开始休眠 1800 s
[2025-01-27 05:03:40,360][INFO] 开始休眠 1800 s
[2025-01-27 05:33:40,479][INFO] 开始休眠 1800 s
[2025-01-27 06:03:40,602][INFO] 开始休眠 1800 s
[2025-01-27 06:33:40,719][INFO] 开始休眠 1800 s
[2025-01-27 07:03:40,835][INFO] 开始休眠 1800 s
[2025-01-27 07:33:40,953][INFO] 开始休眠 1800 s
[2025-01-27 08:03:41,069][INFO] 开始休眠 1800 s
[2025-01-27 08:33:41,189][INFO] 开始休眠 1800 s
[2025-01-27 09:03:41,307][INFO] 开始休眠 1800 s
[2025-01-27 09:33:41,428][INFO] 开始休眠 1800 s
[2025-01-27 10:03:41,548][INFO] 开始休眠 1800 s
[2025-01-27 10:33:41,665][INFO] 开始休眠 1800 s
[2025-01-27 11:03:41,785][INFO] 开始休眠 1800 s
[2025-01-27 11:33:41,903][INFO] 开始休眠 1800 s
[2025-01-27 12:03:42,023][INFO] 开始休眠 1800 s
[2025-01-27 12:33:42,143][INFO] 开始休眠 1800 s
[2025-01-27 13:03:42,264][INFO] 开始休眠 1800 s
[2025-01-27 13:33:42,381][INFO] 开始休眠 1800 s
[2025-01-27 14:03:42,500][INFO] 开始休眠 1800 s
[2025-01-27 14:33:42,621][INFO] 开始休眠 1800 s
[2025-01-27 15:03:42,742][INFO] 开始休眠 1800 s
[2025-01-27 15:33:42,862][INFO] 开始休眠 1800 s
[2025-01-27 16:03:42,980][INFO] 开始休眠 1800 s
[2025-01-27 16:33:43,103][INFO] 开始休眠 1800 s
[2025-01-27 17:03:43,226][INFO] 开始休眠 1800 s
[2025-01-27 17:33:43,343][INFO] 开始休眠 1800 s
[2025-01-27 18:03:43,464][INFO] 开始休眠 1800 s
[2025-01-27 18:33:43,577][INFO] 开始休眠 1800 s
[2025-01-27 19:03:43,682][INFO] [rank:0] 任务执行完成，开始停止容器
[2025-01-27 19:03:54,051][INFO] [rank:0] 容器[20250125_cma_flash_controllerFlash_eval_00]停止成功
[2025-01-27 19:03:54,061][INFO] 开始休眠 1800 s
[2025-01-27 19:33:54,169][INFO] 未找到任何 container ,健康检查结束
VLN_ROOT_DIR:/ssd/wangliuyi/code/w61_grutopia/vln
PROJECT_ROOT_PATH:/ssd/wangliuyi/code/w61_grutopia
cfg_file:vln/configs/v2/eval.json
config:{'name': '20250125_cma_flash_controllerFlash_eval', 'task_type': 'eval', 'ckpt_to_load': 'data/checkpoints/20250106_cma_pm_train_torchGPU1_bs2_lr2.5e-4_flash/ckpts/ckpt.70.pth', 'eval_cfg_file': 'vln/configs/train/seq2seq_eval.yaml', 'image': 'w61_grutopia:v0.4', 'total_rank': 8, 'retry_list': [], 'flash': True, 'device_map': {'0': ['0'], '1': ['1'], '2': ['2'], '3': ['3'], '4': ['4'], '5': ['5'], '6': ['6'], '7': ['7']}, 'merge_config': {'data_0508': [8, 9, 10, 11, 12, 13, 14, 15]}}
name:20250125_cma_flash_controllerFlash_eval
device_map:{'0': ['0'], '1': ['1'], '2': ['2'], '3': ['3'], '4': ['4'], '5': ['5'], '6': ['6'], '7': ['7']}
[2025-01-29 20:44:15,065][INFO] 开始休眠 1800 s
[2025-01-29 21:14:15,176][INFO] 未找到任何 container ,健康检查结束
VLN_ROOT_DIR:/ssd/wangliuyi/code/w61_grutopia/vln
PROJECT_ROOT_PATH:/ssd/wangliuyi/code/w61_grutopia
cfg_file:vln/configs/v2/eval.json
config:{'name': '20250129_cma_flash_controllerEval', 'task_type': 'eval', 'ckpt_to_load': 'data/checkpoints/20250106_cma_pm_train_torchGPU1_bs2_lr2.5e-4_flash/ckpts/ckpt.70.pth', 'eval_cfg_file': 'vln/configs/train/seq2seq_eval.yaml', 'image': 'w61_grutopia:v0.4', 'total_rank': 8, 'retry_list': [], 'flash': False, 'device_map': {'0': ['0'], '1': ['1'], '2': ['2'], '3': ['3'], '4': ['4'], '5': ['5'], '6': ['6'], '7': ['7']}, 'merge_config': {'data_0508': [8, 9, 10, 11, 12, 13, 14, 15]}}
name:20250129_cma_flash_controllerEval
device_map:{'0': ['0'], '1': ['1'], '2': ['2'], '3': ['3'], '4': ['4'], '5': ['5'], '6': ['6'], '7': ['7']}
[2025-01-31 09:29:54,963][INFO] 开始休眠 1800 s
[2025-01-31 09:59:55,078][INFO] 开始休眠 1800 s
[2025-01-31 10:29:55,195][INFO] 开始休眠 1800 s
