[2024-09-22 22:46:44,748][GRUtopia/logs/_log_20240922_224641.txt][INFO] - Loaded data with a total of 10819 items from train
[2024-09-22 22:47:02,758][AutoNode][DEBUG] - Defining data type 'frame[4]' as 'Frame' and array 'FrameArray
[2024-09-22 22:47:02,758][AutoNode][DEBUG] - Defining data type 'half' as 'Half' and array 'HalfArray
[2024-09-22 22:47:02,758][AutoNode][DEBUG] - Defining data type 'half[2]' as 'Half2' and array 'Half2Array
[2024-09-22 22:47:02,758][AutoNode][DEBUG] - Defining data type 'half[3]' as 'Half3' and array 'Half3Array
[2024-09-22 22:47:02,758][AutoNode][DEBUG] - Defining data type 'half[4]' as 'Half4' and array 'Half4Array
[2024-09-22 22:47:02,758][AutoNode][DEBUG] - Defining data type 'int' as 'Int' and array 'IntArray
[2024-09-22 22:47:02,759][AutoNode][DEBUG] - Defining data type 'int[2]' as 'Int2' and array 'Int2Array
[2024-09-22 22:47:02,759][AutoNode][DEBUG] - Defining data type 'int[3]' as 'Int3' and array 'Int3Array
[2024-09-22 22:47:02,759][AutoNode][DEBUG] - Defining data type 'int[4]' as 'Int4' and array 'Int4Array
[2024-09-22 22:47:02,759][AutoNode][DEBUG] - Defining data type 'int64' as 'Int64' and array 'Int64Array
[2024-09-22 22:47:02,759][AutoNode][DEBUG] - Defining data type 'matrixd[2]' as 'Matrix2d' and array 'Matrix2dArray
[2024-09-22 22:47:02,760][AutoNode][DEBUG] - Defining data type 'matrixd[3]' as 'Matrix3d' and array 'Matrix3dArray
[2024-09-22 22:47:02,760][AutoNode][DEBUG] - Defining data type 'matrixd[4]' as 'Matrix4d' and array 'Matrix4dArray
[2024-09-22 22:47:02,760][AutoNode][DEBUG] - Defining data type 'normald[3]' as 'Normal3d' and array 'Normal3dArray
[2024-09-22 22:47:02,760][AutoNode][DEBUG] - Defining data type 'normalf[3]' as 'Normal3f' and array 'Normal3fArray
[2024-09-22 22:47:02,761][AutoNode][DEBUG] - Defining data type 'normalh[3]' as 'Normal3h' and array 'Normal3hArray
[2024-09-22 22:47:02,761][AutoNode][DEBUG] - Defining data type 'objectId' as 'ObjectId' and array 'ObjectIdArray
[2024-09-22 22:47:02,761][AutoNode][DEBUG] - Defining data type 'path' as 'Path'
[2024-09-22 22:47:02,761][AutoNode][DEBUG] - Defining data type 'pointd[3]' as 'Point3d' and array 'Point3dArray
[2024-09-22 22:47:02,761][AutoNode][DEBUG] - Defining data type 'pointf[3]' as 'Point3f' and array 'Point3fArray
[2024-09-22 22:47:02,761][AutoNode][DEBUG] - Defining data type 'pointh[3]' as 'Point3h' and array 'Point3hArray
[2024-09-22 22:47:02,762][AutoNode][DEBUG] - Defining data type 'quatd[4]' as 'Quatd' and array 'QuatdArray
[2024-09-22 22:47:02,762][AutoNode][DEBUG] - Defining data type 'quatf[4]' as 'Quatf' and array 'QuatfArray
[2024-09-22 22:47:02,762][AutoNode][DEBUG] - Defining data type 'quath[4]' as 'Quath' and array 'QuathArray
[2024-09-22 22:47:02,762][AutoNode][DEBUG] - Defining data type 'string' as 'String'
[2024-09-22 22:47:02,763][AutoNode][DEBUG] - Defining data type 'target' as 'Target'
[2024-09-22 22:47:02,763][AutoNode][DEBUG] - Defining data type 'texcoordd[2]' as 'TexCoord2d' and array 'TexCoord2dArray
[2024-09-22 22:47:02,763][AutoNode][DEBUG] - Defining data type 'texcoordf[2]' as 'TexCoord2f' and array 'TexCoord2fArray
[2024-09-22 22:47:02,763][AutoNode][DEBUG] - Defining data type 'texcoordh[2]' as 'TexCoord2h' and array 'TexCoord2hArray
[2024-09-22 22:47:02,763][AutoNode][DEBUG] - Defining data type 'texcoordd[3]' as 'TexCoord3d' and array 'TexCoord3dArray
[2024-09-22 22:47:02,764][AutoNode][DEBUG] - Defining data type 'texcoordf[3]' as 'TexCoord3f' and array 'TexCoord3fArray
[2024-09-22 22:47:02,764][AutoNode][DEBUG] - Defining data type 'texcoordh[3]' as 'TexCoord3h' and array 'TexCoord3hArray
[2024-09-22 22:47:02,764][AutoNode][DEBUG] - Defining data type 'timecode' as 'Timecode' and array 'TimecodeArray
[2024-09-22 22:47:02,764][AutoNode][DEBUG] - Defining data type 'token' as 'Token' and array 'TokenArray
[2024-09-22 22:47:02,764][AutoNode][DEBUG] - Defining data type 'uchar' as 'UChar' and array 'UCharArray
[2024-09-22 22:47:02,764][AutoNode][DEBUG] - Defining data type 'uint' as 'UInt' and array 'UIntArray
[2024-09-22 22:47:02,764][AutoNode][DEBUG] - Defining data type 'uint64' as 'UInt64' and array 'UInt64Array
[2024-09-22 22:47:02,764][AutoNode][DEBUG] - Defining data type 'vectord[3]' as 'Vector3d' and array 'Vector3dArray
[2024-09-22 22:47:02,765][AutoNode][DEBUG] - Defining data type 'vectorf[3]' as 'Vector3f' and array 'Vector3fArray
[2024-09-22 22:47:02,765][AutoNode][DEBUG] - Defining data type 'vectorh[3]' as 'Vector3h' and array 'Vector3hArray
[2024-09-22 22:47:08,136][omni.kit.profiler.window][WARNING] - remove _SpanInstance.__lt__ and use insort 'key' arg instead
[2024-09-22 22:47:36,614][trimesh][DEBUG] - falling back to hashlib hashing: `pip install xxhash`for 50x faster cache checks
[2024-09-22 22:47:37,702][git.cmd][DEBUG] - Popen(['git', 'version'], cwd=/ssd/xiaxinyuan/code/w61-grutopia, stdin=None, shell=False, universal_newlines=False)
[2024-09-22 22:47:37,709][git.cmd][DEBUG] - Popen(['git', 'version'], cwd=/ssd/xiaxinyuan/code/w61-grutopia, stdin=None, shell=False, universal_newlines=False)
[2024-09-22 22:47:37,822][GRUtopia/logs/_log_20240922_224641.txt][INFO] - rendering interval: 5
[2024-09-22 22:47:37,823][GRUtopia/logs/_log_20240922_224641.txt][INFO] - scene_path: ../Matterport3D/data/v1/scans/5LpN3gDmAk7/matterport_mesh/9c6b166997ae486f96d011c1de0b3427/isaacsim_9c6b166997ae486f96d011c1de0b3427.usd
[2024-09-22 22:48:00,753][GRUtopia/logs/_log_20240922_224641.txt][INFO] - {'h1_0': <grutopia_extension.robots.humanoid.HumanoidRobot object at 0x14d7963c3670>}
[2024-09-22 22:48:00,753][GRUtopia/logs/_log_20240922_224641.txt][INFO] - {}
[2024-09-22 22:48:21,109][GRUtopia/logs/_log_20240922_224641.txt][INFO] - Initialized path id 5
[2024-09-22 22:48:21,110][GRUtopia/logs/_log_20240922_224641.txt][INFO] - Scan: 5LpN3gDmAk7
[2024-09-22 22:48:21,110][GRUtopia/logs/_log_20240922_224641.txt][INFO] - Instruction: Enter the bedroom and go around the bed. Go to the closet on the far wall on the left. Stop in the doorway. 
[2024-09-22 22:48:21,111][GRUtopia/logs/_log_20240922_224641.txt][INFO] - Start Position: [ 6.03660011 -3.18623996  4.16564994], Start Rotation: [-0.7071067811865476, -0.0, 0.0, -0.7071067811865475]
[2024-09-22 22:48:31,121][openai._base_client][DEBUG] - Request options: {'method': 'post', 'url': '/deployments/gpt-4o/chat/completions', 'headers': {'api-key': '0586a8ccea144c3ba866ac79d0254cdc'}, 'files': None, 'json_data': {'messages': [{'role': 'user', 'content': 'What is television most relevant to among tv_monitor,plant,chair'}, {'role': 'assistant', 'content': 'tv_monitor'}, {'role': 'user', 'content': 'What is drawer most relevant to among tv_monitor,chest_of_drawers,chair'}, {'role': 'assistant', 'content': 'chest_of_drawer'}, {'role': 'user', 'content': 'What is bedroom most relevant to among void,wall,floor,chair,door,table,picture,cabinet,cushion,window,sofa,bed,curtain,chest_of_drawers,plant,sink,stairs,ceiling,toilet,stool,towel,mirror,tv_monitor,shower,column,bathtub,counter,fireplace,lighting,beam,railing,shelving,blinds,gym_equipment,seating,board_panel,furniture,appliances,clothes,objects. Only answer the object name'}], 'model': 'gpt-4o', 'max_tokens': 300}}
[2024-09-22 22:48:31,127][openai._base_client][DEBUG] - Sending HTTP Request: POST https://gpt-4o-pjm.openai.azure.com//openai/deployments/gpt-4o/chat/completions?api-version=2024-02-15-preview
[2024-09-22 22:48:33,038][openai._base_client][DEBUG] - HTTP Response: POST https://gpt-4o-pjm.openai.azure.com//openai/deployments/gpt-4o/chat/completions?api-version=2024-02-15-preview "200 OK" Headers({'transfer-encoding': 'chunked', 'content-type': 'application/json', 'x-ms-region': 'East US 2', 'apim-request-id': '84b6ef46-c489-430b-8efd-9f0281d27b9b', 'x-ratelimit-remaining-requests': '149', 'x-accel-buffering': 'no', 'x-ms-rai-invoked': 'false', 'x-request-id': '3e118ab6-8cab-4495-97c5-17d42cc85d66', 'strict-transport-security': 'max-age=31536000; includeSubDomains; preload', 'azureml-model-session': 'd093-20240921211009', 'x-content-type-options': 'nosniff', 'x-envoy-upstream-service-time': '64', 'x-ms-client-request-id': '84b6ef46-c489-430b-8efd-9f0281d27b9b', 'x-ratelimit-remaining-tokens': '149563', 'date': 'Sun, 22 Sep 2024 14:47:39 GMT'})
[2024-09-22 22:48:33,040][openai._base_client][DEBUG] - request_id: 3e118ab6-8cab-4495-97c5-17d42cc85d66
[2024-09-22 22:48:33,045][GRUtopia/logs/_log_20240922_224641.txt][WARNING] - pc_mask for object 'bedroom' is either empty or too small.. Object not found, starting exploration.
[2024-09-22 22:49:03,074][timm.models._builder][INFO] - Loading pretrained weights from Hugging Face hub (timm/vit_large_patch16_384.augreg_in21k_ft_in1k)
[2024-09-22 22:49:03,083][urllib3.connectionpool][DEBUG] - Starting new HTTPS connection (1): huggingface.co:443
[2024-09-22 22:49:03,919][urllib3.connectionpool][DEBUG] - https://huggingface.co:443 "HEAD /timm/vit_large_patch16_384.augreg_in21k_ft_in1k/resolve/main/model.safetensors HTTP/1.1" 302 0
[2024-09-22 22:49:03,930][timm.models._hub][INFO] - [timm/vit_large_patch16_384.augreg_in21k_ft_in1k] Safe alternative available for 'pytorch_model.bin' (as 'model.safetensors'). Loading weights using safetensors.
