[2024-09-22 22:31:26,035][GRUtopia/logs/_log_20240922_223122.txt][INFO] - Loaded data with a total of 10819 items from train
[2024-09-22 22:31:50,299][AutoNode][DEBUG] - Defining data type 'matrixd[2]' as 'Matrix2d' and array 'Matrix2dArray
[2024-09-22 22:31:50,300][AutoNode][DEBUG] - Defining data type 'matrixd[3]' as 'Matrix3d' and array 'Matrix3dArray
[2024-09-22 22:31:50,300][AutoNode][DEBUG] - Defining data type 'matrixd[4]' as 'Matrix4d' and array 'Matrix4dArray
[2024-09-22 22:31:50,300][AutoNode][DEBUG] - Defining data type 'normald[3]' as 'Normal3d' and array 'Normal3dArray
[2024-09-22 22:31:50,300][AutoNode][DEBUG] - Defining data type 'normalf[3]' as 'Normal3f' and array 'Normal3fArray
[2024-09-22 22:31:50,300][AutoNode][DEBUG] - Defining data type 'normalh[3]' as 'Normal3h' and array 'Normal3hArray
[2024-09-22 22:31:50,300][AutoNode][DEBUG] - Defining data type 'objectId' as 'ObjectId' and array 'ObjectIdArray
[2024-09-22 22:31:50,301][AutoNode][DEBUG] - Defining data type 'path' as 'Path'
[2024-09-22 22:31:50,301][AutoNode][DEBUG] - Defining data type 'pointd[3]' as 'Point3d' and array 'Point3dArray
[2024-09-22 22:31:50,301][AutoNode][DEBUG] - Defining data type 'pointf[3]' as 'Point3f' and array 'Point3fArray
[2024-09-22 22:31:50,301][AutoNode][DEBUG] - Defining data type 'pointh[3]' as 'Point3h' and array 'Point3hArray
[2024-09-22 22:31:50,301][AutoNode][DEBUG] - Defining data type 'quatd[4]' as 'Quatd' and array 'QuatdArray
[2024-09-22 22:31:50,301][AutoNode][DEBUG] - Defining data type 'quatf[4]' as 'Quatf' and array 'QuatfArray
[2024-09-22 22:31:50,302][AutoNode][DEBUG] - Defining data type 'quath[4]' as 'Quath' and array 'QuathArray
[2024-09-22 22:31:50,302][AutoNode][DEBUG] - Defining data type 'string' as 'String'
[2024-09-22 22:31:50,302][AutoNode][DEBUG] - Defining data type 'target' as 'Target'
[2024-09-22 22:31:50,302][AutoNode][DEBUG] - Defining data type 'texcoordd[2]' as 'TexCoord2d' and array 'TexCoord2dArray
[2024-09-22 22:31:50,302][AutoNode][DEBUG] - Defining data type 'texcoordf[2]' as 'TexCoord2f' and array 'TexCoord2fArray
[2024-09-22 22:31:50,302][AutoNode][DEBUG] - Defining data type 'texcoordh[2]' as 'TexCoord2h' and array 'TexCoord2hArray
[2024-09-22 22:31:50,303][AutoNode][DEBUG] - Defining data type 'texcoordd[3]' as 'TexCoord3d' and array 'TexCoord3dArray
[2024-09-22 22:31:50,303][AutoNode][DEBUG] - Defining data type 'texcoordf[3]' as 'TexCoord3f' and array 'TexCoord3fArray
[2024-09-22 22:31:50,303][AutoNode][DEBUG] - Defining data type 'texcoordh[3]' as 'TexCoord3h' and array 'TexCoord3hArray
[2024-09-22 22:31:50,303][AutoNode][DEBUG] - Defining data type 'timecode' as 'Timecode' and array 'TimecodeArray
[2024-09-22 22:31:50,303][AutoNode][DEBUG] - Defining data type 'token' as 'Token' and array 'TokenArray
[2024-09-22 22:31:50,303][AutoNode][DEBUG] - Defining data type 'uchar' as 'UChar' and array 'UCharArray
[2024-09-22 22:31:50,303][AutoNode][DEBUG] - Defining data type 'uint' as 'UInt' and array 'UIntArray
[2024-09-22 22:31:50,303][AutoNode][DEBUG] - Defining data type 'uint64' as 'UInt64' and array 'UInt64Array
[2024-09-22 22:31:50,304][AutoNode][DEBUG] - Defining data type 'vectord[3]' as 'Vector3d' and array 'Vector3dArray
[2024-09-22 22:31:50,304][AutoNode][DEBUG] - Defining data type 'vectorf[3]' as 'Vector3f' and array 'Vector3fArray
[2024-09-22 22:31:50,304][AutoNode][DEBUG] - Defining data type 'vectorh[3]' as 'Vector3h' and array 'Vector3hArray
[2024-09-22 22:31:55,602][omni.kit.profiler.window][WARNING] - remove _SpanInstance.__lt__ and use insort 'key' arg instead
[2024-09-22 22:32:31,003][trimesh][DEBUG] - falling back to hashlib hashing: `pip install xxhash`for 50x faster cache checks
[2024-09-22 22:32:32,432][git.cmd][DEBUG] - Popen(['git', 'version'], cwd=/ssd/xiaxinyuan/code/w61-grutopia, stdin=None, shell=False, universal_newlines=False)
[2024-09-22 22:32:32,441][git.cmd][DEBUG] - Popen(['git', 'version'], cwd=/ssd/xiaxinyuan/code/w61-grutopia, stdin=None, shell=False, universal_newlines=False)
[2024-09-22 22:32:32,620][GRUtopia/logs/_log_20240922_223122.txt][INFO] - rendering interval: 5
[2024-09-22 22:32:32,620][GRUtopia/logs/_log_20240922_223122.txt][INFO] - scene_path: ../Matterport3D/data/v1/scans/5LpN3gDmAk7/matterport_mesh/9c6b166997ae486f96d011c1de0b3427/isaacsim_9c6b166997ae486f96d011c1de0b3427.usd
[2024-09-22 22:32:56,140][GRUtopia/logs/_log_20240922_223122.txt][INFO] - {'h1_0': <grutopia_extension.robots.humanoid.HumanoidRobot object at 0x149f3a3661d0>}
[2024-09-22 22:32:56,141][GRUtopia/logs/_log_20240922_223122.txt][INFO] - {}
[2024-09-22 22:33:23,890][GRUtopia/logs/_log_20240922_223122.txt][INFO] - Initialized path id 5
[2024-09-22 22:33:23,891][GRUtopia/logs/_log_20240922_223122.txt][INFO] - Scan: 5LpN3gDmAk7
[2024-09-22 22:33:23,892][GRUtopia/logs/_log_20240922_223122.txt][INFO] - Instruction: Enter the bedroom and go around the bed. Go to the closet on the far wall on the left. Stop in the doorway. 
[2024-09-22 22:33:23,892][GRUtopia/logs/_log_20240922_223122.txt][INFO] - Start Position: [ 6.03660011 -3.18623996  4.16564994], Start Rotation: [-0.7071067811865476, -0.0, 0.0, -0.7071067811865475]
[2024-09-22 22:34:07,523][GRUtopia/logs/_log_20240922_223122.txt][ERROR] - An error occurred during move_to_object("bedroom"): name 'move_to_object' is not defined. Starting exploration.
